sample,viruses within nucleus
THP175_mono_uninfected,174
THP176_mono_uninfected,175
THP177_mono_uninfected,176
THP178_mono_uninfected,177
THP179_mono_uninfected,178
THP180_mono_uninfected,179
THP181_mono_uninfected,180
THP182_mono_uninfected,181
THP183_mono_uninfected,182
THP184_mono_uninfected,183
THP185_mono_uninfected,184
THP186_mono_uninfected,185
THP187_mono_uninfected,186
THP188_mono_uninfected,187
THP189_mono_uninfected,188
THP190_mono_uninfected,189
THP191_mono_uninfected,190
THP192_mono_uninfected,191
THP193_mono_uninfected,192
THP194_mono_uninfected,193
THP195_mono_uninfected,194
THP196_mono_uninfected,195
THP197_mono_uninfected,196
THP198_mono_uninfected,197
THP199_mono_uninfected,198
THP200_mono_uninfected,199
THP201_mono_uninfected,200
THP202_mono_uninfected,201
THP203_mono_uninfected,202
THP204_mono_uninfected,203
THP205_mono_uninfected,204
THP206_mono_uninfected,205
THP207_mono_uninfected,206
THP208_mono_uninfected,207
THP209_mono_uninfected,208
THP210_mono_uninfected,209
THP211_mono_uninfected,210
THP212_mono_uninfected,211
THP213_mono_uninfected,212
THP214_mono_uninfected,213
THP215_mono_uninfected,214
THP216_mono_uninfected,215
THP217_mono_uninfected,216
THP218_mono_uninfected,217
THP219_mono_uninfected,218
THP220_mono_uninfected,219
THP221_mono_uninfected,220
THP222_mono_uninfected,221
THP223_mono_uninfected,222
THP224_mono_uninfected,223
THP225_mono_uninfected,224
THP226_mono_uninfected,225
THP227_mono_uninfected,226
THP228_mono_uninfected,227
THP229_mono_uninfected,228
THP230_mono_uninfected,229
THP231_mono_uninfected,230
THP232_mono_uninfected,231
THP233_mono_uninfected,232
THP234_mono_uninfected,233
THP235_mono_uninfected,234
THP236_mono_uninfected,235
THP237_mono_uninfected,236
THP238_mono_uninfected,237
THP239_mono_uninfected,238
THP240_mono_uninfected,239
THP241_mono_uninfected,240
THP242_mono_uninfected,241
THP243_mono_uninfected,242
THP244_mono_uninfected,243
THP245_mono_uninfected,244
THP246_mono_uninfected,245
THP247_mono_uninfected,246
THP248_mono_uninfected,247
THP249_mono_uninfected,248
THP250_mono_uninfected,249
THP251_mono_uninfected,250
THP252_mono_uninfected,251
THP253_mono_uninfected,252
THP254_mono_uninfected,253
THP255_mono_uninfected,254
THP256_mono_uninfected,255
THP257_mono_uninfected,256
THP258_mono_uninfected,257
THP259_mono_uninfected,258
THP260_mono_uninfected,259
THP261_mono_uninfected,260
THP262_mono_uninfected,261
THP263_mono_uninfected,262
THP264_mono_uninfected,263
THP265_mono_uninfected,264
THP266_mono_uninfected,265
THP267_mono_uninfected,266
THP268_mono_uninfected,267
THP269_mono_uninfected,268
THP270_mono_uninfected,269
THP271_mono_uninfected,270
THP272_mono_uninfected,271
THP273_mono_uninfected,272
THP274_mono_uninfected,273
THP275_mono_uninfected,274
THP276_mono_uninfected,275
THP277_mono_uninfected,276
THP278_mono_uninfected,277
THP279_mono_uninfected,278
THP280_mono_uninfected,279
THP281_mono_uninfected,280
THP282_mono_uninfected,281
THP283_mono_uninfected,282
THP284_mono_uninfected,283
THP285_mono_uninfected,284
THP286_mono_uninfected,285
THP287_mono_uninfected,286
THP288_mono_uninfected,287
THP289_mono_uninfected,288
THP290_mono_uninfected,289
THP291_mono_uninfected,290
THP292_mono_uninfected,291
THP293_mono_uninfected,292
THP294_mono_uninfected,293
THP295_mono_uninfected,294
THP296_mono_uninfected,295
THP297_mono_uninfected,296
THP298_mono_uninfected,297
THP299_mono_uninfected,298
THP300_mono_uninfected,299
THP301_mono_uninfected,300
THP302_mono_uninfected,301
THP303_mono_uninfected,302
THP304_mono_uninfected,303
THP305_mono_uninfected,304
THP306_mono_uninfected,305
THP307_mono_uninfected,306
THP308_mono_uninfected,307
THP309_mono_uninfected,308
THP310_mono_uninfected,309
THP311_mono_uninfected,310
THP312_mono_uninfected,311
THP313_mono_uninfected,312
THP314_mono_uninfected,313
THP315_mono_uninfected,314
THP316_mono_uninfected,315
THP317_mono_uninfected,316
THP318_mono_uninfected,317
THP319_mono_uninfected,318
THP320_mono_uninfected,319
THP321_mono_uninfected,320
THP322_mono_uninfected,321
THP323_mono_uninfected,322
THP324_mono_uninfected,323
THP325_mono_uninfected,324
THP326_mono_uninfected,325
THP327_mono_uninfected,326
THP328_mono_uninfected,327
THP329_mono_uninfected,328
THP330_mono_uninfected,329
THP331_mono_uninfected,330
THP332_mono_uninfected,331
THP333_mono_uninfected,332
THP334_mono_uninfected,333
THP335_mono_uninfected,334
THP336_mono_uninfected,335
THP337_mono_uninfected,336
THP338_mono_uninfected,337
THP339_mono_uninfected,338
THP340_mono_uninfected,339
THP341_mono_uninfected,340
THP342_mono_uninfected,341
THP343_mono_uninfected,342
THP344_mono_uninfected,343
THP345_mono_uninfected,344
THP346_mono_uninfected,345
THP347_mono_uninfected,346
THP348_mono_uninfected,347
THP349_mono_uninfected,348
THP350_mono_uninfected,349
THP351_mono_uninfected,350
THP352_mono_uninfected,351
THP353_mono_uninfected,352
THP354_mono_uninfected,353
THP355_mono_uninfected,354
THP356_mono_uninfected,355
THP357_mono_uninfected,356
THP358_mono_uninfected,357
THP359_mono_uninfected,358
THP360_mono_uninfected,359
THP361_mono_uninfected,360
THP362_mono_uninfected,361
THP363_mono_uninfected,362
THP364_mono_uninfected,363
THP365_mono_uninfected,364
THP366_mono_uninfected,365
THP367_mono_uninfected,366
THP368_mono_uninfected,367
THP369_mono_uninfected,368
THP370_mono_uninfected,369
THP371_mono_uninfected,370
THP372_mono_uninfected,371
THP373_mono_uninfected,372
THP374_mono_uninfected,373
THP375_mono_uninfected,374
THP376_mono_uninfected,375
THP377_mono_uninfected,376
THP378_mono_uninfected,377
THP379_mono_uninfected,378
THP380_mono_uninfected,379
THP381_mono_uninfected,380
THP382_mono_uninfected,381
THP383_mono_uninfected,382
THP384_mono_uninfected,383
THP385_mono_uninfected,384
THP386_mono_uninfected,385
THP387_mono_uninfected,386
THP388_mono_uninfected,387
THP389_mono_uninfected,388
THP390_mono_uninfected,389
THP391_mono_uninfected,390
THP392_mono_uninfected,391
THP393_mono_uninfected,392
THP394_mono_uninfected,393
THP395_mono_uninfected,394
THP396_mono_uninfected,395
THP397_mono_uninfected,396
THP398_mono_uninfected,397
THP399_mono_uninfected,398
THP400_mono_uninfected,399
THP401_mono_uninfected,400
THP402_mono_uninfected,401
THP403_mono_uninfected,402
THP404_mono_uninfected,403
THP405_mono_uninfected,404
THP406_mono_uninfected,405
THP407_mono_uninfected,406
THP408_mono_uninfected,407
THP409_mono_uninfected,408
THP410_mono_uninfected,409
THP411_mono_uninfected,410
THP412_mono_uninfected,411
THP413_mono_uninfected,412
THP414_mono_uninfected,413
THP415_mono_uninfected,414
THP416_mono_uninfected,415
THP417_mono_uninfected,416
THP418_mono_uninfected,417
THP419_mono_uninfected,418
THP420_mono_uninfected,419
THP421_mono_uninfected,420
THP422_mono_uninfected,421
THP423_mono_uninfected,422
THP424_mono_uninfected,423
THP425_mono_uninfected,424
THP426_mono_uninfected,425
THP427_mono_uninfected,426
THP428_mono_uninfected,427
THP429_mono_uninfected,428
THP430_mono_uninfected,429
THP431_mono_uninfected,430
THP432_mono_uninfected,431
THP433_mono_uninfected,432
THP434_mono_uninfected,433
THP435_mono_uninfected,434
THP436_mono_uninfected,435
THP437_mono_uninfected,436
THP438_mono_uninfected,437
THP439_mono_uninfected,438
THP440_mono_uninfected,439
THP441_mono_uninfected,440
THP442_mono_uninfected,441
THP443_mono_uninfected,442
THP444_mono_uninfected,443
THP445_mono_uninfected,444
THP446_mono_uninfected,445
THP447_mono_uninfected,446
THP448_mono_uninfected,447
THP449_mono_uninfected,448
THP450_mono_uninfected,449
THP451_mono_uninfected,450
THP452_mono_uninfected,451
THP453_mono_uninfected,452
THP454_mono_uninfected,453
THP455_mono_uninfected,454
THP456_mono_uninfected,455
THP457_mono_uninfected,456
THP458_mono_uninfected,457
THP459_mono_uninfected,458
THP460_mono_uninfected,459
THP461_mono_uninfected,460
THP462_mono_uninfected,461
THP463_mono_uninfected,462
THP464_mono_uninfected,463
THP465_mono_uninfected,464
THP466_mono_uninfected,465
THP467_mono_uninfected,466
THP468_mono_uninfected,467
THP469_mono_uninfected,468
THP470_mono_uninfected,469
THP471_mono_uninfected,470
THP472_mono_uninfected,471
THP473_mono_uninfected,472
THP474_mono_uninfected,473
THP475_mono_uninfected,474
THP476_mono_uninfected,475
THP477_mono_uninfected,476
THP478_mono_uninfected,477
THP479_mono_uninfected,478
THP480_mono_uninfected,479
THP481_mono_uninfected,480
THP482_mono_uninfected,481
THP483_mono_uninfected,482
THP484_mono_uninfected,483
THP485_mono_uninfected,484
THP486_mono_uninfected,485
THP487_mono_uninfected,486
THP488_mono_uninfected,487
THP489_mono_uninfected,488
THP490_mono_uninfected,489
THP491_mono_uninfected,490
THP492_mono_uninfected,491
THP493_mono_uninfected,492
THP494_mono_uninfected,493
THP495_mono_uninfected,494
THP496_mono_uninfected,495
THP497_mono_uninfected,496
THP498_mono_uninfected,497
THP499_mono_uninfected,498
THP500_mono_uninfected,499
THP501_mono_uninfected,500
THP502_mono_uninfected,501
